  genre_id  ,Genre
1,Drama
2,"Crime, Drama"
3,"Action, Crime, Drama"
4,"Crime, Drama"
5,"Crime, Drama"
6,"Action, Adventure, Drama"
7,"Crime, Drama"
8,"Biography, Drama, History"
9,"Action, Adventure, Sci-Fi"
10,Drama
11,"Action, Adventure, Drama"
12,"Drama, Romance"
13,Western
14,"Action, Adventure, Drama"
15,"Action, Sci-Fi"
16,"Biography, Crime, Drama"
17,"Action, Adventure, Fantasy"
18,Drama
19,"Biography, Drama, History"
20,"Comedy, Drama, Thriller"
21,Drama
22,"Adventure, Drama, Sci-Fi"
23,"Crime, Drama"
24,"Animation, Adventure, Family"
25,"Drama, War"
26,"Crime, Drama, Fantasy"
27,"Comedy, Drama, Romance"
28,"Crime, Drama, Mystery"
29,"Crime, Drama, Thriller"
30,"Action, Adventure, Fantasy"
31,"Action, Drama, Mystery"
32,"Action, Adventure, Drama"
33,"Drama, Family, Fantasy"
34,"Crime, Drama, Thriller"
35,"Drama, Music"
36,"Biography, Comedy, Drama"
37,"Drama, Mystery, Sci-Fi"
38,"Crime, Drama, Thriller"
39,"Biography, Drama, Music"
40,"Action, Adventure, Drama"
41,Drama
42,"Crime, Mystery, Thriller"
43,"Action, Crime, Drama"
44,"Animation, Adventure, Drama"
45,"Action, Sci-Fi"
46,"Drama, Romance"
47,"Animation, Drama, War"
48,"Adventure, Comedy, Sci-Fi"
49,Western
50,"Horror, Mystery, Thriller"
51,"Drama, Romance, War"
52,"Comedy, Drama, Family"
53,"Comedy, Drama, Romance"
54,Drama
55,"Biography, Drama, History"
56,"Action, Crime, Drama"
57,"Animation, Drama, Fantasy"
58,"Action, Biography, Drama"
59,"Animation, Action, Adventure"
60,"Action, Adventure, Drama"
61,"Action, Adventure, Sci-Fi"
62,"Animation, Adventure, Family"
63,"Drama, Western"
64,"Action, Adventure"
65,"Comedy, Drama"
66,"Drama, Family"
67,"Animation, Adventure, Family"
68,"Drama, Mystery, Thriller"
69,"Action, Drama, Mystery"
70,"Mystery, Thriller"
71,"Animation, Action, Adventure"
72,"Crime, Drama"
73,"Action, Adventure"
74,"Drama, Horror"
75,"Drama, Mystery, War"
76,"Horror, Sci-Fi"
77,"Drama, Musical"
78,"Crime, Drama, Mystery"
79,Comedy
80,"Crime, Drama, Mystery"
